City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
0,jurm,3,AF,1601793443,23,36.86,70.83,291.92,2.89
1,maliq,67,AL,1601793849,41,40.71,20.7,295.43,3.86
2,shengjin,20,AL,1601793849,57,41.81,19.59,300.15,3.6
3,aghavnadzor,40,AM,1601793849,43,39.78,45.23,295.15,5.1
4,aygestan,25,AM,1601793849,55,40.0,44.56,291.15,2.1
5,margara,35,AM,1601793849,55,40.03,44.18,293.15,2.1
6,voskehat,42,AM,1601793849,55,40.14,44.33,291.15,2.1
7,caluquembe,23,AO,1601793849,53,-13.78,14.68,295.07,1.55
8,gualeguaychu,99,AR,1601793849,82,-33.01,-58.52,280.93,1.79
9,hallein,63,AT,1601793850,81,47.68,13.1,281.48,2.1
10,jennersdorf,0,AT,1601793850,17,46.94,16.14,287.04,6.81
11,retz,57,AT,1601793850,85,48.75,15.96,288.71,2.24
12,traun,20,AT,1601793850,87,48.23,14.23,283.71,8.7
13,geraldton,0,AU,1601793850,40,-28.77,114.6,293.15,8.7
14,banovici,20,BA,1601793850,93,44.41,18.52,287.15,1.5
15,bratunac,40,BA,1601793850,93,44.19,19.34,290.15,1.0
16,odzak,0,BA,1601793850,80,45.01,18.33,289.26,2.74
17,kalia,100,BD,1601793851,64,23.04,89.63,305.82,3.44
18,nageshwari,96,BD,1601793851,62,25.94,89.71,305.1,1.46
19,maasmechelen,75,BE,1601793851,87,50.97,5.69,284.26,7.7
20,merbes-le-chateau,100,BE,1601793851,58,50.32,4.17,283.15,4.47
21,capinota,40,BO,1601793851,58,-17.72,-66.23,287.15,1.5
22,guayaramerin,14,BO,1601793851,91,-10.84,-65.36,295.37,0.13
23,tipuani,7,BO,1601793851,76,-15.56,-68.02,294.28,1.01
24,aracoiaba,42,BR,1601793851,87,-4.37,-38.81,295.27,1.87
25,barra do pirai,100,BR,1601793852,92,-22.47,-43.83,294.66,1.95
26,buri,87,BR,1601793852,79,-23.8,-48.59,291.53,6.81
27,buriti,78,BR,1601793852,79,-22.93,-45.39,294.82,0.52
28,castro,97,BR,1601793647,83,-24.79,-50.01,287.91,6.0
29,caucaia,20,BR,1601793852,78,-3.74,-38.65,299.26,4.6
30,centenario do sul,9,BR,1601793852,69,-22.82,-51.6,293.79,9.04
31,coronel vivida,0,BR,1601793852,76,-25.98,-52.57,289.74,4.16
32,cotia,90,BR,1601793852,88,-23.67,-46.95,293.15,4.6
33,getulio vargas,100,UY,1601793852,78,-32.68,-53.55,283.93,3.93
34,ibateguara,20,BR,1601793853,94,-8.97,-35.94,294.15,1.0
35,ipanema,90,BR,1601793853,93,-30.14,-51.22,288.15,4.6
36,juazeiro do norte,3,BR,1601793853,83,-7.21,-39.32,292.19,0.39
37,jussara,0,BR,1601793853,69,-23.62,-52.47,294.59,4.97
38,lagoa do itaenga,40,BR,1601793853,78,-7.94,-35.29,298.15,3.6
39,orizona,0,BR,1601793853,34,-17.03,-48.3,293.47,1.45
40,paranagua,90,BR,1601793853,100,-25.52,-48.51,286.15,3.6
41,paulista,40,BR,1601793853,78,-7.94,-34.87,298.15,3.6
42,petrolina de goias,0,BR,1601793854,41,-16.09,-49.34,297.15,1.16
43,quarai,100,BR,1601793854,87,-30.39,-56.45,284.65,7.44
44,raposa,0,BR,1601793854,56,-6.52,-44.18,295.77,1.85
45,resende,89,BR,1601793695,89,-22.47,-44.45,294.91,0.57
46,sao pedro do sul,100,BR,1601793854,90,-29.62,-54.18,286.28,6.55
47,serro,26,BR,1601793638,54,-18.6,-43.38,291.01,0.67
48,vilhena,94,BR,1601793854,62,-12.74,-60.15,298.02,1.54
49,dekar,0,BW,1601793854,15,-21.53,21.93,299.4,3.6
50,francistown,90,BW,1601793854,88,-21.17,27.51,292.15,3.6
51,gabane,90,BW,1601793855,88,-24.67,25.78,291.15,4.6
52,otse,90,BW,1601793855,88,-25.02,25.73,291.15,4.6
53,horki,100,BY,1601793855,66,54.29,30.98,285.15,6.0
54,botwood,90,CA,1601793855,76,49.15,-55.35,283.71,5.1
55,carbonear,64,CA,1601793855,100,47.73,-53.21,285.37,0.45
56,flin flon,100,CA,1601793855,76,54.77,-101.86,278.08,3.79
57,gibsons,85,CA,1601793727,95,49.4,-123.5,285.93,1.22
58,kamloops,5,CA,1601793679,82,50.67,-120.32,286.15,1.5
59,london,100,GB,1601793704,87,51.51,-0.13,283.15,5.1
60,north bay,1,CA,1601793856,86,46.32,-79.47,279.26,3.1
61,portneuf,90,CA,1601793561,80,46.69,-71.89,279.26,1.5
62,price,1,US,1601793777,30,39.6,-110.81,286.15,3.6
63,salaberry-de-valleyfield,96,CA,1601793856,89,45.25,-74.13,279.26,0.45
64,kreuzlingen,93,CH,1601793856,81,47.65,9.18,283.15,4.6
65,la tour-de-peilz,24,CH,1601793856,83,46.45,6.86,283.15,5.36
66,oberengstringen,20,CH,1601793856,71,47.41,8.47,284.26,5.1
67,saanen,3,CH,1601793856,74,46.49,7.26,282.04,1.79
68,schwyz,75,CH,1601793857,87,47.03,8.66,283.15,1.5
69,steinhausen,75,CH,1601793857,87,47.2,8.49,283.15,0.5
70,wetzikon,90,CH,1601793857,76,47.33,8.8,283.15,0.5
71,sassandra,70,CI,1601793857,87,4.95,-6.08,297.87,1.53
72,puerto montt,1,CL,1601793857,93,-41.47,-72.94,275.15,1.85
73,san clemente,0,US,1601793857,47,33.43,-117.61,293.15,1.28
74,victoria,5,HK,1601793641,66,22.29,114.16,303.71,4.02
75,nkongsamba,99,CM,1601793857,95,4.95,9.94,294.88,0.39
76,dengfeng,100,CN,1601793858,99,34.46,113.03,293.71,1.46
77,genhe,100,CN,1601793858,74,50.78,121.52,277.22,4.21
78,jiazi,12,CN,1601793858,71,22.88,116.07,301.39,4.61
79,jinchang,100,CN,1601793858,41,38.5,102.17,283.21,4.41
80,jining,100,CN,1601793858,30,35.41,116.58,289.63,5.86
81,qinnan,100,CN,1601793858,59,33.25,119.91,292.37,7.29
82,taizhou,95,CN,1601793858,61,32.49,119.91,294.26,0.45
83,cerrito,100,CO,1601793858,84,6.84,-72.69,282.56,1.11
